pl_name,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
HD 80606 b,1,Radial Velocity,2001,111.4357,0.0008,-0.0008,0,10.98,0.34,-0.34,0,1252.2,34.96,-34.96,0,0.9332,0.0008,-0.0008,0,66.4711,0.1612,-0.1604
HD 80606 b,1,Radial Velocity,2001,111.43639,0.00032,-0.00031,0,,,,,1322.16617,41.31769,-41.31769,0,0.93043,0.00068,-0.00069,0,66.4711,0.1612,-0.1604
HD 80606 b,1,Radial Velocity,2001,111.4367,0.0004,-0.0004,0,11.243,0.303,-0.303,0,1307.55262,49.26365,-49.26365,0,,,,,66.4711,0.1612,-0.1604
HD 80606 b,1,Radial Velocity,2001,111.428,0.002,-0.002,0,,,,,1303.05,38.14,-38.14,0,0.933,0.001,-0.001,0,66.4711,0.1612,-0.1604
HD 80606 b,1,Radial Velocity,2001,111.4367,0.0004,-0.0004,0,11.243,0.258,-0.258,0,1308.18828,30.82951,-31.783,0,0.93226,0.00064,-0.00069,0,66.4711,0.1612,-0.1604
HD 80606 b,1,Radial Velocity,2001,111.4367,0.0004,-0.0004,0,11.994,0.336,-0.336,0,1392.0954,235.1942,-235.1942,0,0.93,0,0,0,66.4711,0.1612,-0.1604
HD 80869 b,1,Radial Velocity,2021,1752.92067,37.0165,-33.60283,0,,,,,1609.80088,809.82678,-179.57305,0,0.924,0.053,-0.094,0,85.3951,0.5374,-0.5308
HD 80869 b,1,Radial Velocity,2021,1711,8.8,-9.1,0,,,,,1802.08707,572.09113,-266.97586,0,0.871,0.055,-0.019,0,85.3951,0.5374,-0.5308
HD 80869 b,1,Radial Velocity,2021,1711.7,9.3,-9.6,0,,,,,1544.64606,206.58846,-92.17024,0,0.862,0.028,-0.018,0,85.3951,0.5374,-0.5308
HD 80883 b,1,Radial Velocity,2022,6383.78352,2891.20808,-1084.85967,0,,,,,1748.05624,390.92894,-335.6268,0,0.203,0.185,-0.121,0,34.6011,0.0576,-0.0574
HD 80913 b,1,Radial Velocity,2022,10839.83341,2660.45783,-1973.20021,0,,,,,7505.2,1142.27529,-1227.13548,0,0.313,0.152,-0.131,0,61.3603,0.0839,-0.0837
HD 81040 b,1,Radial Velocity,2005,1001.7,7,-7,0,,,,,2180.3138,225.6593,-225.6593,0,0.526,0.042,-0.042,0,34.4341,0.0777,-0.0773
HD 81040 b,1,Radial Velocity,2005,1005.98854,7.62637,-6.37242,0,,,,,2151.06266,349.92908,-273.65026,0,0.557,0.046,-0.067,0,34.4341,0.0777,-0.0773
HD 81040 b,1,Radial Velocity,2005,1001.70001,7,-7,0,,,,,2310.6241,311.4734,-311.4734,0,0.53,0.04,-0.04,0,34.4341,0.0777,-0.0773
HD 81040 b,1,Radial Velocity,2005,1002.7,4,-3.4,0,,,,,2301.07767,317.82841,-117.59651,0,0.525,0.024,-0.026,0,34.4341,0.0777,-0.0773
HD 81688 b,1,Radial Velocity,2007,183.93,0.09,-0.09,0,,,,,525.68819,17.16273,-17.48056,0,0.04,0.022,-0.031,0,85.7183,0.78695,-0.78695
HD 81688 b,1,Radial Velocity,2007,,,,,,,,,562.5,95.3,-63.6,0,,,,,85.7183,0.78695,-0.78695
HD 81688 b,1,Radial Velocity,2007,184.02,0.18,-0.18,0,,,,,858.1,,,0,0,,,0,85.7183,0.78695,-0.78695
HD 81817 b,2,Radial Velocity,2020,1021.20159,13.8837,-9.8913,0,,,,,7668.5638,3097.87348,-219.61943,0,0.097,0.09,-0.057,0,269.126,23.237,-19.865
HD 81817 b,2,Radial Velocity,2020,1047.1,8.5,-8.5,0,,,,,8613.193,667.443,-667.443,0,0.17,0.07,-0.07,0,269.126,23.237,-19.865
HD 81817 c,2,Radial Velocity,2022,622.97802,2.01914,-2.12035,0,,,,,7185.78245,590.84301,-596.24609,0,0.095,0.058,-0.044,0,269.126,23.237,-19.865
HD 82886 b,1,Radial Velocity,2011,705,34,-34,0,,,,,413.2,31.8,-31.8,0,0.066,,,0,127.061,1.122,-1.103
HD 82886 b,1,Radial Velocity,2011,705,34,-34,0,,,,,740.5439,104.8839,-104.8839,0,0.07,0.17,-0.17,0,127.061,1.122,-1.103
HD 82943 b,2,Radial Velocity,2003,441.47,0.35,-0.35,0,,,,,534.25,8.899,-8.899,0,0.162,0.036,-0.036,0,27.5902,0.0291,-0.029
HD 82943 b,2,Radial Velocity,2003,442.4,3.1,-3.1,0,,,,,476.725,21.612,-21.612,0,0.203,0.052,-0.052,0,27.5902,0.0291,-0.029
HD 82943 b,2,Radial Velocity,2003,441.2,,,0,,,,,556,0,0,0,0.219,,,0,27.5902,0.0291,-0.029
HD 82943 b,2,Radial Velocity,2003,441.93,0.43,-0.45,0,,,,,489.13792,16.84491,-16.52708,0,0.142,0.042,-0.046,0,27.5902,0.0291,-0.029
HD 82943 b,2,Radial Velocity,2003,435.1,1.4,-1.4,0,,,,,584.8072,,,0,0.18,0.04,-0.04,0,27.5902,0.0291,-0.029
HD 82943 c,2,Radial Velocity,2003,219.3,0.8,-0.8,0,,,,,476.725,22.883,-22.883,0,0.425,0.018,-0.018,0,27.5902,0.0291,-0.029
HD 82943 c,2,Radial Velocity,2003,219.929,0.056,-0.059,0,,,,,525.05253,27.01541,-24.47279,0,0.421,0.014,-0.015,0,27.5902,0.0291,-0.029
HD 82943 c,2,Radial Velocity,2003,219.3,,,0,,,,,639,0,0,0,0.359,,,0,27.5902,0.0291,-0.029
HD 82943 c,2,Radial Velocity,2003,220.078,0.051,-0.051,0,,,,,622.603,14.937,-14.937,0,0.3663,0.0097,-0.0097,0,27.5902,0.0291,-0.029
HD 82943 c,2,Radial Velocity,2003,219.4,0.2,-0.2,0,,,,,587.9855,,,0,0.38,0.01,-0.01,0,27.5902,0.0291,-0.029
HD 8326 b,1,Radial Velocity,2019,158.991,1.44,-1.44,0,,,,,66.6,19.6,-19.6,0,0.2,0.11,-0.11,0,30.6862,0.0442,-0.0441
HD 83443 b,2,Radial Velocity,2002,2.985628,0.000005,-0.000005,0,,,,,127.76702,2.54263,-2.54263,0,0.012,0.007,-0.006,0,40.8991,0.0628,-0.0626
HD 83443 b,2,Radial Velocity,2002,2.98553,0.0004,-0.0004,0,,,,,108.0622,,,0,0.052,0.05,-0.05,0,40.8991,0.0628,-0.0626
HD 83443 b,2,Radial Velocity,2002,2.985698,0.000057,-0.000057,0,,,,,126.491,11.124,-11.124,0,0.012,0.023,-0.023,0,40.8991,0.0628,-0.0626
HD 83443 b,2,Radial Velocity,2002,2.9857,0.000057,-0.000057,0,,,,,108.0622,6.3566,-6.3566,0,0.01,0.01,-0.01,0,40.8991,0.0628,-0.0626
HD 83443 b,2,Radial Velocity,2002,2.98565,0.00003,-0.00003,0,,,,,120.7754,,,0,0.013,0.013,-0.013,0,40.8991,0.0628,-0.0626
HD 83443 b,2,Radial Velocity,2002,2.985625,0.00006,-0.00006,0,,,,,127.127,10.806,-10.806,0,0.008,0.025,-0.025,0,40.8991,0.0628,-0.0626
HD 83443 b,2,Radial Velocity,2002,2.98566,0.000034,-0.000033,0,,,,,129.99182,6.03874,-5.72091,0,0.074,0.031,-0.032,0,40.8991,0.0628,-0.0626
HD 83443 c,2,Radial Velocity,2022,8241,1019,-530,0,,,,,476.74261,158.9142,-63.56568,0,0.76,0.046,-0.047,0,40.8991,0.0628,-0.0626
HD 8535 b,1,Radial Velocity,2010,1313,28,-28,0,,,,,216.1244,22.2481,-12.7132,0,0.15,0.09,-0.05,0,55.4401,0.0961,-0.0957
HD 85390 b,1,Radial Velocity,2009,788,25,-25,0,,,,,34.9613,3.1783,-3.1783,0,0.41,0.12,-0.12,0,33.5225,0.043,-0.0429
HD 85390 b,1,Radial Velocity,2009,788,25,-25,0,,,,,42,3.6,-3.6,0,0.41,0.12,-0.12,0,33.5225,0.043,-0.0429
HD 85390 b,1,Radial Velocity,2009,799.52,2.41,-2.41,0,,,,,31.46517,3.1783,-3.1783,0,0.5,0.05,-0.05,0,33.5225,0.043,-0.0429
HD 85512 b,1,Radial Velocity,2011,58.43,0.13,-0.13,0,,,,,3.1783,0,0,0,0.11,0.1,-0.1,0,11.281,0.0052,-0.0052
HD 85512 b,1,Radial Velocity,2011,58.43,0.13,-0.13,0,,,,,3.6,0.5,-0.5,0,0.11,0.1,-0.1,0,11.281,0.0052,-0.0052
HD 8574 b,1,Radial Velocity,2002,227,0.2,-0.2,0,,,,,572.07,19.07,-19.07,0,0.297,0.026,-0.026,0,44.8264,0.094,-0.0936
HD 8574 b,1,Radial Velocity,2002,227,0.2,-0.2,0,,,,,645.1949,44.4962,-44.4962,0,0.3,0.03,-0.03,0,44.8264,0.094,-0.0936
HD 8574 b,1,Radial Velocity,2002,227.04,0.09,-0.095,0,,,,,561.28497,23.5193,-23.20147,0,0.306,0.022,-0.022,0,44.8264,0.094,-0.0936
HD 8574 b,1,Radial Velocity,2002,227.55,0.77,-0.77,0,,,,,670.6213,,,0,0.288,0.053,-0.053,0,44.8264,0.094,-0.0936
